"Date","Price","Open","High","Low","Vol.","Change %"
"04/03/2025","267.28","265.29","276.30","261.51","136.17M","-5.47%"
"04/02/2025","282.76","254.60","284.99","251.27","212.79M","5.33%"
"04/01/2025","268.46","263.80","277.45","259.25","146.49M","3.59%"
"03/31/2025","259.16","249.31","260.56","243.36","134.01M","-1.67%"
"03/28/2025","263.55","275.58","276.10","260.57","123.81M","-3.51%"
"03/27/2025","273.13","272.48","291.85","271.82","162.57M","0.39%"
"03/26/2025","272.06","282.66","284.90","266.51","156.25M","-5.58%"
"03/25/2025","288.14","283.60","288.20","271.28","150.36M","3.50%"
"03/24/2025","278.39","258.08","278.64","256.33","169.08M","11.93%"
"03/21/2025","248.71","234.99","249.52","234.55","132.73M","5.27%"
"03/20/2025","236.26","233.35","238.00","230.05","99.03M","0.17%"
"03/19/2025","235.86","231.61","241.41","229.20","111.99M","4.68%"
"03/18/2025","225.31","228.15","230.10","222.28","111.48M","-5.34%"
"03/17/2025","238.01","245.05","245.40","232.80","111.90M","-4.79%"
"03/14/2025","249.98","247.31","251.58","240.73","100.24M","3.86%"
"03/13/2025","240.68","248.13","248.29","232.60","114.81M","-2.99%"
"03/12/2025","248.09","247.22","251.84","241.10","142.22M","7.59%"
"03/11/2025","230.58","225.30","237.06","217.02","174.90M","3.79%"
"03/10/2025","222.15","252.54","253.37","220.00","189.08M","-15.43%"
"03/07/2025","262.67","259.32","266.25","250.73","102.37M","-0.30%"
"03/06/2025","263.45","272.06","272.65","260.02","98.45M","-5.61%"
"03/05/2025","279.10","272.92","279.55","267.71","94.04M","2.60%"
"03/04/2025","272.04","270.93","284.35","261.84","126.71M","-4.43%"
"03/03/2025","284.65","300.34","303.94","277.30","115.55M","-2.84%"
"02/28/2025","292.98","279.50","293.88","273.60","115.70M","3.91%"
"02/27/2025","281.95","291.16","297.23","280.88","101.75M","-3.04%"
"02/26/2025","290.80","303.71","309.00","288.04","100.12M","-3.96%"
"02/25/2025","302.80","327.02","328.89","297.25","134.23M","-8.39%"
"02/24/2025","330.53","338.14","342.40","324.70","76.05M","-2.15%"
"02/21/2025","337.80","353.44","354.98","334.42","74.06M","-4.68%"
"02/20/2025","354.40","361.51","362.30","348.00","45.97M","-1.71%"
"02/19/2025","360.56","354.00","367.34","353.67","67.09M","1.82%"
"02/18/2025","354.11","355.01","359.10","350.02","51.63M","-0.49%"
"02/14/2025","355.84","360.62","362.00","347.50","68.28M","-0.03%"
"02/13/2025","355.94","345.00","358.69","342.85","89.44M","5.77%"
"02/12/2025","336.51","329.94","346.40","329.12","105.38M","2.44%"
"02/11/2025","328.50","345.80","349.37","325.10","118.54M","-6.34%"
"02/10/2025","350.73","356.21","362.70","350.51","77.51M","-3.01%"
"02/07/2025","361.62","370.19","380.55","360.34","70.30M","-3.39%"
"02/06/2025","374.32","373.03","375.40","363.18","77.92M","-1.02%"
"02/05/2025","378.17","387.51","388.39","375.53","57.61M","-3.58%"
"02/04/2025","392.21","382.63","394.00","381.40","57.07M","2.22%"
"02/03/2025","383.68","386.68","389.17","374.36","93.73M","-5.17%"
"01/31/2025","404.60","401.53","419.99","401.34","83.57M","1.08%"
"01/30/2025","400.28","410.78","412.50","384.41","98.09M","2.87%"
"01/29/2025","389.10","395.21","398.59","384.48","68.03M","-2.26%"
"01/28/2025","398.09","396.91","400.59","386.50","48.91M","0.24%"
"01/27/2025","397.15","394.80","406.69","389.00","58.13M","-2.32%"
"01/24/2025","406.58","414.45","418.88","405.78","56.43M","-1.41%"
"01/23/2025","412.38","416.06","420.73","408.95","50.69M","-0.66%"
"01/22/2025","415.11","416.81","428.00","414.59","60.96M","-2.11%"
"01/21/2025","424.07","432.64","433.20","406.31","87.32M","-0.57%"
"01/17/2025","426.50","421.50","439.74","419.75","94.99M","3.06%"
"01/16/2025","413.82","423.49","424.00","409.13","68.34M","-3.36%"
"01/15/2025","428.22","409.90","429.80","405.66","81.38M","8.04%"
"01/14/2025","396.36","414.34","422.64","394.54","84.57M","-1.72%"
"01/13/2025","403.31","383.21","403.79","380.07","67.58M","2.17%"
"01/10/2025","394.74","391.40","399.28","377.29","62.29M","-0.05%"
"01/08/2025","394.94","392.95","402.50","387.40","73.04M","0.15%"
"01/07/2025","394.36","405.83","414.33","390.00","75.70M","-4.06%"
"01/06/2025","411.05","423.20","426.43","401.70","85.52M","0.15%"
"01/03/2025","410.44","381.48","411.88","379.45","95.42M","8.22%"
"01/02/2025","379.28","390.10","392.73","373.04","109.71M","-6.08%"
